serial,date,year,year_n,month,team,team_,status,home_score,away_score,home_result,away_result,result_desc,tournament,city,country,result,size,decade,random,home_team,home_team_,away_team,away_team_
372,05/03/1981,1981,1,3,Bahrain,Bahrain,home_team,0,3,-3,3,loser,Friendly,Manama,Bahrain,-3,3,4,0.857669929,Bahrain,Bahrain,Tunisia,Tunisia
372,05/03/1981,1981,1,3,Tunisia,Tunisia,away_team,0,3,-3,3,winner,Friendly,Manama,Bahrain,3,3,4,0.600228235,Bahrain,Bahrain,Tunisia,Tunisia
373,08/03/1981,1981,1,3,Morocco,Morocco,home_team,1,1,0,0,draw,Friendly,Rabat,Morocco,0,0,4,0.446414266,Morocco,Morocco,Iraq,Iraq
373,08/03/1981,1981,1,3,Iraq,Iraq,away_team,1,1,0,0,draw,Friendly,Rabat,Morocco,0,0,4,0.713935211,Morocco,Morocco,Iraq,Iraq
487,03/07/1985,1985,5,7,Saudi Arabia,Saudi_Arabia,home_team,4,0,4,-4,winner,UAFA Cup,Ta'if,Saudi Arabia,4,4,4,0.312185741,Saudi Arabia,Saudi_Arabia,Jordan,Jordan
374,08/03/1981,1981,1,3,Tunisia,Tunisia,away_team,1,2,-1,1,winner,Friendly,Riyadh,Saudi Arabia,1,1,4,0.640762508,Saudi Arabia,Saudi_Arabia,Tunisia,Tunisia
491,07/07/1985,1985,5,7,Saudi Arabia,Saudi_Arabia,home_team,1,0,1,-1,winner,UAFA Cup,Ta'if,Saudi Arabia,1,1,4,0.08901865,Saudi Arabia,Saudi_Arabia,Qatar,Qatar
375,11/03/1981,1981,1,3,Jordan,Jordan,away_team,2,1,1,-1,loser,Friendly,Riyadh,Saudi Arabia,-1,1,4,0.59678614,Saudi Arabia,Saudi_Arabia,Jordan,Jordan
376,18/03/1981,1981,1,3,Qatar,Qatar,home_team,0,1,-1,1,loser,FIFA World Cup qualification,Riyadh,Saudi Arabia,-1,1,4,0.19548527,Qatar,Qatar,Iraq,Iraq
376,18/03/1981,1981,1,3,Iraq,Iraq,away_team,0,1,-1,1,winner,FIFA World Cup qualification,Riyadh,Saudi Arabia,1,1,4,0.908955985,Qatar,Qatar,Iraq,Iraq
377,19/03/1981,1981,1,3,Syria,Syria,home_team,0,1,-1,1,loser,FIFA World Cup qualification,Riyadh,Saudi Arabia,-1,1,4,0.561452124,Syria,Syria,Bahrain,Bahrain
377,19/03/1981,1981,1,3,Bahrain,Bahrain,away_team,0,1,-1,1,winner,FIFA World Cup qualification,Riyadh,Saudi Arabia,1,1,4,0.703967775,Syria,Syria,Bahrain,Bahrain
494,10/07/1985,1985,5,7,Saudi Arabia,Saudi_Arabia,home_team,2,3,-1,1,loser,UAFA Cup,Ta'if,Saudi Arabia,-1,1,4,0.951280524,Saudi Arabia,Saudi_Arabia,Iraq,Iraq
378,21/03/1981,1981,1,3,Iraq,Iraq,away_team,1,0,1,-1,loser,FIFA World Cup qualification,Riyadh,Saudi Arabia,-1,1,4,0.485988291,Saudi Arabia,Saudi_Arabia,Iraq,Iraq
