date,day,home_team,home_team_,away_team,away_team_,home_score,away_score,tournament,city,country,year,year_n,month,home_result,away_result,result,total_goals,home_result_desc,away_result_desc,serial,decade,home_group,away_group,home_random,away_random
08/10/2010,8,Kuwait,Kuwait,Bahrain,Bahrain,1,3,Friendly,Kuwait City,Kuwait,2010,0,10,-2,2,2,4,loser,winner,1496,7,0,0,0.20248565,0.588386588
12/10/2010,12,Qatar,Qatar,Iraq,Iraq,1,2,Friendly,Doha,Qatar,2010,0,10,-1,1,1,3,loser,winner,1497,7,1,0,0.90654394,0.290325069
14/11/2010,14,Bahrain,Bahrain,Syria,Syria,0,2,Friendly,Riffa,Bahrain,2010,0,11,-2,2,2,2,loser,winner,1498,7,0,0,0.76265125,0.778658507
17/11/2010,17,Iraq,Iraq,Kuwait,Kuwait,1,1,Friendly,Abu Dhabi,United Arab Emirates,2010,0,11,0,0,0,2,draw,draw,1499,7,0,0,0.15552696,0.397569889
22/11/2010,22,Kuwait,Kuwait,Qatar,Qatar,1,0,Gulf Cup,Aden,Yemen,2010,0,11,1,-1,1,1,winner,loser,1500,7,0,1,0.21872904,0.470951584
11/04/1997,11,Bahrain,Bahrain,UAE,UAE,1,2,FIFA World Cup qualification,Manama,Bahrain,1997,7,4,-1,1,1,3,loser,winner,844,5,0,0,0.94378745,0.324129537
29/09/1998,29,Qatar,Qatar,UAE,UAE,2,1,UAFA Cup,Doha,Qatar,1998,8,9,1,-1,1,3,winner,loser,892,5,1,0,0.90091307,0.3388271
23/11/2010,23,Oman,Oman,Bahrain,Bahrain,1,1,Gulf Cup,Aden,Yemen,2010,0,11,0,0,0,2,draw,draw,1503,7,1,0,0.37480459,0.972685657
27/01/2002,27,UAE,UAE,Bahrain,Bahrain,1,2,Gulf Cup,Riyadh,Saudi Arabia,2002,2,1,-1,1,1,3,loser,winner,1056,6,0,0,0.52232046,0.024388004
25/11/2010,25,Yemen,Yemen,Qatar,Qatar,1,2,Gulf Cup,Zinjibar,Yemen,2010,0,11,-1,1,1,3,loser,winner,1505,7,1,1,0.12474898,0.512082567
26/11/2010,26,Bahrain,Bahrain,Iraq,Iraq,2,3,Gulf Cup,Aden,Yemen,2010,0,11,-1,1,1,5,loser,winner,1506,7,0,0,0.87147133,0.715564124
